system:index,countyears,cropland_mode,first,longitude,system:indexviejuno,.geo
2013_1265,5.0,24.0,61,-104.03663291549836,45572.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-104.0366329,40.5647292]}"
2013_1298,5.0,24.0,176,-104.5082484396611,46748.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-104.5082484,40.502476]}"
2013_1851,5.0,24.0,61,-104.77208363860701,66385.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-104.7720836,40.6714491]}"
2013_439,5.0,24.0,24,-104.53438941442899,15718.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-104.5343894,41.2252604]}"
2013_1514,7.0,24.0,24,-104.48049049738181,54445.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-104.4804905,41.4184881]}"
2013_315,5.0,24.0,61,-104.3187937462403,11091.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-104.3187937,41.3996234]}"
2013_1583,5.0,24.0,24,-103.97976955801359,56660.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-103.9797696,41.3909996]}"
2013_1564,7.0,24.0,61,-104.25842695914747,56182.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-104.258427,41.2759254]}"
2013_595,5.0,24.0,61,-104.24387425154472,21334.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-104.2438743,41.0627552]}"
2013_499,5.0,24.0,61,-103.62969609179221,18074.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-103.6296961,41.5731779]}"
2013_1400,5.0,24.0,24,-103.49710475585617,50202.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-103.4971048,41.5494624]}"
2013_1980,5.0,24.0,24,-103.38876793259136,71381.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-103.3887679,41.3168886]}"
2013_403,5.0,24.0,24,-103.44347533339423,14457.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-103.4434753,41.3101512]}"
2013_1995,5.0,24.0,24,-103.22114230057466,71863.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-103.2211423,41.4570258]}"
2013_1525,5.0,24.0,61,-103.1613145026523,54725.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-103.1613145,41.4448985]}"
2013_1461,5.0,24.0,29,-103.10768508019036,52598.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-103.1076851,41.3581213]}"
2013_359,5.0,24.0,61,-103.11576991774744,12711.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-103.1157699,41.2689186]}"
2013_168,5.0,24.0,61,-103.01578742662494,5680.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-103.0157874,41.3360227]}"
2013_1776,5.0,24.0,24,-102.98910746268659,63712.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.9891075,41.245203]}"
2013_640,5.0,24.0,61,-102.94248489944079,22740.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.9424849,41.2010059]}"
2013_364,5.0,24.0,61,-102.89882677663257,12841.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.8988268,41.2196011]}"
2013_57,5.0,24.0,61,-102.31644897793788,2014.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.316449,41.2823933]}"
2013_695,5.0,24.0,61,-102.35687316572326,24371.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.3568732,41.3079953]}"
2013_189,5.0,24.0,24,-102.40538219106571,6265.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.4053822,41.271883]}"
2013_473,5.0,24.0,61,-102.61828291340204,16779.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.6182829,41.2274164]}"
2013_397,5.0,24.0,61,-102.62151684842487,14233.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.6215168,41.2446641]}"
2013_885,5.0,24.0,24,-102.75653363562805,32426.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.7565336,41.4095947]}"
2013_788,5.0,24.0,24,-102.67325980879016,28028.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.6732598,41.2352317]}"
2013_423,5.0,24.0,36,-102.79884428551007,15059.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.7988443,40.9409437]}"
2013_1083,5.0,24.0,176,-102.69293291351238,38556.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.6929329,40.899711]}"
2013_1585,5.0,24.0,61,-102.70532966443322,56673.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.7053297,41.0263734]}"
2013_326,5.0,24.0,61,-102.55117876167832,11567.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.5511788,41.0482025]}"
2013_459,5.0,24.0,24,-102.37789374337166,16547.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.3778937,41.1185406]}"
2013_924,6.0,24.0,24,-102.26686197425448,33541.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.266862,41.1508799]}"
2013_1141,5.0,24.0,24,-102.18439663117232,40737.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.1843966,41.2565218]}"
2013_498,5.0,24.0,61,-102.14801486216548,18028.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.1480149,41.1648937]}"
2013_731,5.0,24.0,24,-102.11567551193717,26257.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.1156755,41.1312068]}"
2013_1425,5.0,24.0,61,-102.1226823711533,51235.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.1226824,41.147646]}"
2013_1616,5.0,24.0,24,-102.21592749764491,57539.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.2159275,41.1589648]}"
2013_1318,5.0,24.0,24,-102.21080710052543,47240.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.2108071,41.1417171]}"
2013_598,5.0,24.0,61,-102.34717136065477,21368.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.3471714,41.0654502]}"
